"","STATION","Sampling.date","Day","Month","Year","species","abundance"
"414",3,2001-05-28,28,5,2001,"Diaixis pygmaea",0
"415",4,2001-05-28,28,5,2001,"Diaixis pygmaea",0
"416",2,2002-04-22,22,4,2002,"Diaixis pygmaea",0
"417",3,2002-04-22,22,4,2002,"Diaixis pygmaea",0
"418",4,2002-04-22,22,4,2002,"Diaixis pygmaea",0
"419",4,2014-05-21,21,5,2014,"Diaixis pygmaea",8.08080808080808
"420",2,2015-05-27,27,5,2015,"Diaixis pygmaea",0
"421",3,2015-05-27,27,5,2015,"Diaixis pygmaea",0
"422",4,2015-05-27,27,5,2015,"Diaixis pygmaea",0
"423",2,2016-04-29,29,4,2016,"Diaixis pygmaea",0
"424",3,2016-04-29,29,4,2016,"Diaixis pygmaea",0
"425",4,2016-04-29,29,4,2016,"Diaixis pygmaea",0.0838574423480084
"426",2,1997-05-14,14,5,1997,"Euterpina acutifrons",0
"427",3,1997-05-14,14,5,1997,"Euterpina acutifrons",0
"428",4,1997-05-15,15,5,1997,"Euterpina acutifrons",0
"429",2,1998-05-01,1,5,1998,"Euterpina acutifrons",0
"430",3,1998-05-01,1,5,1998,"Euterpina acutifrons",0
"431",4,1998-05-01,1,5,1998,"Euterpina acutifrons",0
"432",2,1999-05-07,7,5,1999,"Euterpina acutifrons",0
"433",3,1999-05-07,7,5,1999,"Euterpina acutifrons",0
"434",4,1999-05-07,7,5,1999,"Euterpina acutifrons",0
"435",2,2000-05-25,25,5,2000,"Euterpina acutifrons",0
"436",3,2000-05-25,25,5,2000,"Euterpina acutifrons",0
"437",4,2000-05-25,25,5,2000,"Euterpina acutifrons",0
"438",2,2001-05-28,28,5,2001,"Euterpina acutifrons",0
"439",3,2001-05-28,28,5,2001,"Euterpina acutifrons",0
"440",4,2001-05-28,28,5,2001,"Euterpina acutifrons",3.07866666794944
"441",2,2002-04-22,22,4,2002,"Euterpina acutifrons",0
"442",3,2002-04-22,22,4,2002,"Euterpina acutifrons",0
"443",4,2002-04-22,22,4,2002,"Euterpina acutifrons",0
"444",4,2014-05-21,21,5,2014,"Euterpina acutifrons",44.4444444444444
"445",2,2015-05-27,27,5,2015,"Euterpina acutifrons",0.170940170940171
"446",3,2015-05-27,27,5,2015,"Euterpina acutifrons",0.118343195266272
"447",4,2015-05-27,27,5,2015,"Euterpina acutifrons",0
"448",2,2016-04-29,29,4,2016,"Euterpina acutifrons",0
"449",3,2016-04-29,29,4,2016,"Euterpina acutifrons",0.727107475573733
"450",4,2016-04-29,29,4,2016,"Euterpina acutifrons",1.67714884696017
"451",2,1997-05-14,14,5,1997,"Harpacticoida ind ",5.70803405793655
"452",3,1997-05-14,14,5,1997,"Harpacticoida ind ",0
"453",4,1997-05-15,15,5,1997,"Harpacticoida ind ",0
"454",2,1998-05-01,1,5,1998,"Harpacticoida ind ",4.54132606721163
"455",3,1998-05-01,1,5,1998,"Harpacticoida ind ",5.19008693395614
"456",4,1998-05-01,1,5,1998,"Harpacticoida ind ",0
"457",2,1999-05-07,7,5,1999,"Harpacticoida ind ",0.695168578380257
"458",3,1999-05-07,7,5,1999,"Harpacticoida ind ",3.47705146036161
"459",4,1999-05-07,7,5,1999,"Harpacticoida ind ",3.86543455940086
"460",2,2000-05-25,25,5,2000,"Harpacticoida ind ",0.925925925925926
"461",3,2000-05-25,25,5,2000,"Harpacticoida ind ",0.920556015833563
"462",4,2000-05-25,25,5,2000,"Harpacticoida ind ",0
"463",2,2001-05-28,28,5,2001,"Harpacticoida ind ",2.87565385179455
"464",3,2001-05-28,28,5,2001,"Harpacticoida ind ",2.2266569807088
"465",4,2001-05-28,28,5,2001,"Harpacticoida ind ",3.07866666794944
"466",2,2002-04-22,22,4,2002,"Harpacticoida ind ",0.236038332625218
"467",3,2002-04-22,22,4,2002,"Harpacticoida ind ",0.943930526713234
"468",4,2002-04-22,22,4,2002,"Harpacticoida ind ",0.472076665250437
"469",4,2014-05-21,21,5,2014,"Harpacticoida ind ",16.1616161616162
"470",2,2015-05-27,27,5,2015,"Harpacticoida ind ",5.47008547008547
"471",3,2015-05-27,27,5,2015,"Harpacticoida ind ",9.46745562130178
"472",4,2015-05-27,27,5,2015,"Harpacticoida ind ",0.045662100456621
"473",2,2016-04-29,29,4,2016,"Harpacticoida ind ",3.86206896551724
"474",3,2016-04-29,29,4,2016,"Harpacticoida ind ",12.3608270847535
"475",4,2016-04-29,29,4,2016,"Harpacticoida ind ",2.51572327044025
"476",2,1997-05-14,14,5,1997,"Mecynocera clausi",0
"477",3,1997-05-14,14,5,1997,"Mecynocera clausi",0
"478",4,1997-05-15,15,5,1997,"Mecynocera clausi",0
"479",2,1998-05-01,1,5,1998,"Mecynocera clausi",0
"480",3,1998-05-01,1,5,1998,"Mecynocera clausi",0
"481",4,1998-05-01,1,5,1998,"Mecynocera clausi",12.7051349920593
"482",2,1999-05-07,7,5,1999,"Mecynocera clausi",0
"483",3,1999-05-07,7,5,1999,"Mecynocera clausi",0
"484",4,1999-05-07,7,5,1999,"Mecynocera clausi",0
"485",2,2000-05-25,25,5,2000,"Mecynocera clausi",0
"486",3,2000-05-25,25,5,2000,"Mecynocera clausi",0
"487",4,2000-05-25,25,5,2000,"Mecynocera clausi",0
"488",2,2001-05-28,28,5,2001,"Mecynocera clausi",0
"489",3,2001-05-28,28,5,2001,"Mecynocera clausi",0
"490",4,2001-05-28,28,5,2001,"Mecynocera clausi",0
"491",2,2002-04-22,22,4,2002,"Mecynocera clausi",0
"492",3,2002-04-22,22,4,2002,"Mecynocera clausi",0
"493",4,2002-04-22,22,4,2002,"Mecynocera clausi",0
"494",4,2014-05-21,21,5,2014,"Mecynocera clausi",0
"495",2,2015-05-27,27,5,2015,"Mecynocera clausi",0
"496",3,2015-05-27,27,5,2015,"Mecynocera clausi",0
"497",4,2015-05-27,27,5,2015,"Mecynocera clausi",0
"498",2,2016-04-29,29,4,2016,"Mecynocera clausi",0
"499",3,2016-04-29,29,4,2016,"Mecynocera clausi",0
"500",4,2016-04-29,29,4,2016,"Mecynocera clausi",0
"501",2,1997-05-14,14,5,1997,"nauplii Copepoda ind ",1.90267801931218
"502",3,1997-05-14,14,5,1997,"nauplii Copepoda ind ",0
"503",4,1997-05-15,15,5,1997,"nauplii Copepoda ind ",1.94658568870202
"504",2,1998-05-01,1,5,1998,"nauplii Copepoda ind ",4.54132606721163
"505",3,1998-05-01,1,5,1998,"nauplii Copepoda ind ",17.135091799571
"506",4,1998-05-01,1,5,1998,"nauplii Copepoda ind ",9.64153028053762
"507",2,1999-05-07,7,5,1999,"nauplii Copepoda ind ",0
"508",3,1999-05-07,7,5,1999,"nauplii Copepoda ind ",1.15901715345387
"509",4,1999-05-07,7,5,1999,"nauplii Copepoda ind ",0
"510",2,2000-05-25,25,5,2000,"nauplii Copepoda ind ",3.7037037037037
"511",3,2000-05-25,25,5,2000,"nauplii Copepoda ind ",0
"512",4,2000-05-25,25,5,2000,"nauplii Copepoda ind ",0
"513",2,2001-05-28,28,5,2001,"nauplii Copepoda ind ",0
"514",3,2001-05-28,28,5,2001,"nauplii Copepoda ind ",3.3399854710632
"515",4,2001-05-28,28,5,2001,"nauplii Copepoda ind ",10.7753333378231
"516",2,2002-04-22,22,4,2002,"nauplii Copepoda ind ",0.236038332625218
"517",3,2002-04-22,22,4,2002,"nauplii Copepoda ind ",0.472076665250437
"518",4,2002-04-22,22,4,2002,"nauplii Copepoda ind ",29.5779855279142
"519",4,2014-05-21,21,5,2014,"nauplii Copepoda ind ",12.1212121212121
"520",2,2015-05-27,27,5,2015,"nauplii Copepoda ind ",10.9401709401709
"521",3,2015-05-27,27,5,2015,"nauplii Copepoda ind ",3.15581854043393
"522",4,2015-05-27,27,5,2015,"nauplii Copepoda ind ",0
"523",2,2016-04-29,29,4,2016,"nauplii Copepoda ind ",0.613026819923372
"524",3,2016-04-29,29,4,2016,"nauplii Copepoda ind ",3.63553737786867
"525",4,2016-04-29,29,4,2016,"nauplii Copepoda ind ",0.838574423480084
"526",2,1997-05-14,14,5,1997,"Oithona spp",0
"527",3,1997-05-14,14,5,1997,"Oithona spp",0
"528",4,1997-05-15,15,5,1997,"Oithona spp",0
"529",2,1998-05-01,1,5,1998,"Oithona spp",0
"530",3,1998-05-01,1,5,1998,"Oithona spp",0
"531",4,1998-05-01,1,5,1998,"Oithona spp",0
"532",2,1999-05-07,7,5,1999,"Oithona spp",0
"533",3,1999-05-07,7,5,1999,"Oithona spp",0
"534",4,1999-05-07,7,5,1999,"Oithona spp",0
"535",2,2000-05-25,25,5,2000,"Oithona spp",0
"536",3,2000-05-25,25,5,2000,"Oithona spp",0
"537",4,2000-05-25,25,5,2000,"Oithona spp",0
"538",2,2001-05-28,28,5,2001,"Oithona spp",0
"539",3,2001-05-28,28,5,2001,"Oithona spp",0
"540",4,2001-05-28,28,5,2001,"Oithona spp",0
"541",2,2002-04-22,22,4,2002,"Oithona spp",0
"542",3,2002-04-22,22,4,2002,"Oithona spp",0
"543",4,2002-04-22,22,4,2002,"Oithona spp",0
"544",4,2014-05-21,21,5,2014,"Oithona spp",12.5252525252525
"545",2,2015-05-27,27,5,2015,"Oithona spp",0
"546",3,2015-05-27,27,5,2015,"Oithona spp",0
"547",4,2015-05-27,27,5,2015,"Oithona spp",0
"548",2,2016-04-29,29,4,2016,"Oithona spp",0
"549",3,2016-04-29,29,4,2016,"Oithona spp",0.727107475573733
"550",4,2016-04-29,29,4,2016,"Oithona spp",0
"551",2,1997-05-14,14,5,1997,"Oithona similis",24.7348142510584
"552",3,1997-05-14,14,5,1997,"Oithona similis",87.2310942504714
"553",4,1997-05-15,15,5,1997,"Oithona similis",89.5429416802928
"554",2,1998-05-01,1,5,1998,"Oithona similis",1.08137334414707
"555",3,1998-05-01,1,5,1998,"Oithona similis",2.59504346697807
"556",4,1998-05-01,1,5,1998,"Oithona similis",2.34288057166286
"557",2,1999-05-07,7,5,1999,"Oithona similis",2.08550573514077
"558",3,1999-05-07,7,5,1999,"Oithona similis",2.31803430690774
"559",4,1999-05-07,7,5,1999,"Oithona similis",181.67542429184
"560",2,2000-05-25,25,5,2000,"Oithona similis",0
"561",3,2000-05-25,25,5,2000,"Oithona similis",0
"562",4,2000-05-25,25,5,2000,"Oithona similis",0
"563",2,2001-05-28,28,5,2001,"Oithona similis",0
"564",3,2001-05-28,28,5,2001,"Oithona similis",0
"565",4,2001-05-28,28,5,2001,"Oithona similis",4.61800000192417
"566",2,2002-04-22,22,4,2002,"Oithona similis",2.12434499362696
"567",3,2002-04-22,22,4,2002,"Oithona similis",2.51714807123529
"568",4,2002-04-22,22,4,2002,"Oithona similis",1052.13119949295
"569",4,2014-05-21,21,5,2014,"Oithona similis",28.2828282828283
"570",2,2015-05-27,27,5,2015,"Oithona similis",16.4102564102564
"571",3,2015-05-27,27,5,2015,"Oithona similis",3.15581854043393
"572",4,2015-05-27,27,5,2015,"Oithona similis",10.958904109589
"573",2,2016-04-29,29,4,2016,"Oithona similis",0
"574",3,2016-04-29,29,4,2016,"Oithona similis",0.21813224267212
"575",4,2016-04-29,29,4,2016,"Oithona similis",25.9958071278826
"576",2,1997-05-14,14,5,1997,"Oithona nana",0
"577",3,1997-05-14,14,5,1997,"Oithona nana",7.26925785420595
"578",4,1997-05-15,15,5,1997,"Oithona nana",3.89317137740403
"579",2,1998-05-01,1,5,1998,"Oithona nana",0
"580",3,1998-05-01,1,5,1998,"Oithona nana",0
"581",4,1998-05-01,1,5,1998,"Oithona nana",0
"582",2,1999-05-07,7,5,1999,"Oithona nana",0
"583",3,1999-05-07,7,5,1999,"Oithona nana",0
"584",4,1999-05-07,7,5,1999,"Oithona nana",0
"585",2,2000-05-25,25,5,2000,"Oithona nana",0
"586",3,2000-05-25,25,5,2000,"Oithona nana",0.920556015833563
"587",4,2000-05-25,25,5,2000,"Oithona nana",4.03673428196589
"588",2,2001-05-28,28,5,2001,"Oithona nana",0
"589",3,2001-05-28,28,5,2001,"Oithona nana",0
"590",4,2001-05-28,28,5,2001,"Oithona nana",0
"591",2,2002-04-22,22,4,2002,"Oithona nana",0.472076665250437
"592",3,2002-04-22,22,4,2002,"Oithona nana",0.472076665250437
"593",4,2002-04-22,22,4,2002,"Oithona nana",8.45085300797549
"594",4,2014-05-21,21,5,2014,"Oithona nana",24.2424242424242
"595",2,2015-05-27,27,5,2015,"Oithona nana",2.73504273504274
"596",3,2015-05-27,27,5,2015,"Oithona nana",0.0788954635108481
"597",4,2015-05-27,27,5,2015,"Oithona nana",3.65296803652968
"598",2,2016-04-29,29,4,2016,"Oithona nana",0.183908045977011
"599",3,2016-04-29,29,4,2016,"Oithona nana",2.90842990229493
"600",4,2016-04-29,29,4,2016,"Oithona nana",7.54716981132076
"601",2,1997-05-14,14,5,1997,"Oithona plumifera",0
"602",3,1997-05-14,14,5,1997,"Oithona plumifera",0
"603",4,1997-05-15,15,5,1997,"Oithona plumifera",0
"604",2,1998-05-01,1,5,1998,"Oithona plumifera",0
"605",3,1998-05-01,1,5,1998,"Oithona plumifera",0
"606",4,1998-05-01,1,5,1998,"Oithona plumifera",0
"607",2,1999-05-07,7,5,1999,"Oithona plumifera",0
"608",3,1999-05-07,7,5,1999,"Oithona plumifera",0
"609",4,1999-05-07,7,5,1999,"Oithona plumifera",11.5963036782026
"610",2,2000-05-25,25,5,2000,"Oithona plumifera",0
"611",3,2000-05-25,25,5,2000,"Oithona plumifera",0
"612",4,2000-05-25,25,5,2000,"Oithona plumifera",4.03673428196589
"613",2,2001-05-28,28,5,2001,"Oithona plumifera",0
"614",3,2001-05-28,28,5,2001,"Oithona plumifera",0
"615",4,2001-05-28,28,5,2001,"Oithona plumifera",0
"616",2,2002-04-22,22,4,2002,"Oithona plumifera",0
"617",3,2002-04-22,22,4,2002,"Oithona plumifera",0
"618",4,2002-04-22,22,4,2002,"Oithona plumifera",0
"619",4,2014-05-21,21,5,2014,"Oithona plumifera",0
"620",2,2015-05-27,27,5,2015,"Oithona plumifera",0
"621",3,2015-05-27,27,5,2015,"Oithona plumifera",0
"622",4,2015-05-27,27,5,2015,"Oithona plumifera",0
"623",2,2016-04-29,29,4,2016,"Oithona plumifera",0
"624",3,2016-04-29,29,4,2016,"Oithona plumifera",0
"625",4,2016-04-29,29,4,2016,"Oithona plumifera",0.838574423480084
"626",2,1997-05-14,14,5,1997,"Oithonidae copepoditi ind ",0
"627",3,1997-05-14,14,5,1997,"Oithonidae copepoditi ind ",0
"628",4,1997-05-15,15,5,1997,"Oithonidae copepoditi ind ",0
"629",2,1998-05-01,1,5,1998,"Oithonidae copepoditi ind ",0
"630",3,1998-05-01,1,5,1998,"Oithonidae copepoditi ind ",0
"631",4,1998-05-01,1,5,1998,"Oithonidae copepoditi ind ",0
"632",2,1999-05-07,7,5,1999,"Oithonidae copepoditi ind ",0
"633",3,1999-05-07,7,5,1999,"Oithonidae copepoditi ind ",0
"634",4,1999-05-07,7,5,1999,"Oithonidae copepoditi ind ",0
"635",2,2000-05-25,25,5,2000,"Oithonidae copepoditi ind ",0
"636",3,2000-05-25,25,5,2000,"Oithonidae copepoditi ind ",0
"637",4,2000-05-25,25,5,2000,"Oithonidae copepoditi ind ",0
"638",2,2001-05-28,28,5,2001,"Oithonidae copepoditi ind ",0
"639",3,2001-05-28,28,5,2001,"Oithonidae copepoditi ind ",0
"640",4,2001-05-28,28,5,2001,"Oithonidae copepoditi ind ",0
"641",2,2002-04-22,22,4,2002,"Oithonidae copepoditi ind ",0
"642",3,2002-04-22,22,4,2002,"Oithonidae copepoditi ind ",0
"643",4,2002-04-22,22,4,2002,"Oithonidae copepoditi ind ",0
"644",4,2014-05-21,21,5,2014,"Oithonidae copepoditi ind ",0
"645",2,2015-05-27,27,5,2015,"Oithonidae copepoditi ind ",8.2051282051282
"646",3,2015-05-27,27,5,2015,"Oithonidae copepoditi ind ",0
"647",4,2015-05-27,27,5,2015,"Oithonidae copepoditi ind ",25.5707762557078
"648",2,2016-04-29,29,4,2016,"Oithonidae copepoditi ind ",0.245210727969349
"649",3,2016-04-29,29,4,2016,"Oithonidae copepoditi ind ",0.727107475573733
"650",4,2016-04-29,29,4,2016,"Oithonidae copepoditi ind ",15.0943396226415
"651",2,1997-05-14,14,5,1997,"Oncaeidae ind ",0
"652",3,1997-05-14,14,5,1997,"Oncaeidae ind ",0
"653",4,1997-05-15,15,5,1997,"Oncaeidae ind ",0
"654",2,1998-05-01,1,5,1998,"Oncaeidae ind ",0
"655",3,1998-05-01,1,5,1998,"Oncaeidae ind ",0
"656",4,1998-05-01,1,5,1998,"Oncaeidae ind ",23.292747485442
"657",2,1999-05-07,7,5,1999,"Oncaeidae ind ",0
"658",3,1999-05-07,7,5,1999,"Oncaeidae ind ",0
"659",4,1999-05-07,7,5,1999,"Oncaeidae ind ",0
"660",2,2000-05-25,25,5,2000,"Oncaeidae ind ",0
"661",3,2000-05-25,25,5,2000,"Oncaeidae ind ",0
"662",4,2000-05-25,25,5,2000,"Oncaeidae ind ",0
"663",2,2001-05-28,28,5,2001,"Oncaeidae ind ",0
"664",3,2001-05-28,28,5,2001,"Oncaeidae ind ",0
"665",4,2001-05-28,28,5,2001,"Oncaeidae ind ",1.53933333397472
"666",2,2002-04-22,22,4,2002,"Oncaeidae ind ",0
"667",3,2002-04-22,22,4,2002,"Oncaeidae ind ",0
"668",4,2002-04-22,22,4,2002,"Oncaeidae ind ",0
"669",4,2014-05-21,21,5,2014,"Oncaeidae ind ",8.88888888888889
"670",2,2015-05-27,27,5,2015,"Oncaeidae ind ",0
"671",3,2015-05-27,27,5,2015,"Oncaeidae ind ",0
"672",4,2015-05-27,27,5,2015,"Oncaeidae ind ",0
"673",2,2016-04-29,29,4,2016,"Oncaeidae ind ",0
"674",3,2016-04-29,29,4,2016,"Oncaeidae ind ",0
"675",4,2016-04-29,29,4,2016,"Oncaeidae ind ",0
"676",2,1997-05-14,14,5,1997,"Paracalanus nanus",0
"677",3,1997-05-14,14,5,1997,"Paracalanus nanus",0
"678",4,1997-05-15,15,5,1997,"Paracalanus nanus",0
"679",2,1998-05-01,1,5,1998,"Paracalanus nanus",0
"680",3,1998-05-01,1,5,1998,"Paracalanus nanus",0
"681",4,1998-05-01,1,5,1998,"Paracalanus nanus",0
"682",2,1999-05-07,7,5,1999,"Paracalanus nanus",0
"683",3,1999-05-07,7,5,1999,"Paracalanus nanus",0
"684",4,1999-05-07,7,5,1999,"Paracalanus nanus",0
"685",2,2000-05-25,25,5,2000,"Paracalanus nanus",0
"686",3,2000-05-25,25,5,2000,"Paracalanus nanus",0
"687",4,2000-05-25,25,5,2000,"Paracalanus nanus",0
"688",2,2001-05-28,28,5,2001,"Paracalanus nanus",0
"689",3,2001-05-28,28,5,2001,"Paracalanus nanus",0
"690",4,2001-05-28,28,5,2001,"Paracalanus nanus",0
"691",2,2002-04-22,22,4,2002,"Paracalanus nanus",0
"692",3,2002-04-22,22,4,2002,"Paracalanus nanus",0
"693",4,2002-04-22,22,4,2002,"Paracalanus nanus",0
"694",4,2014-05-21,21,5,2014,"Paracalanus nanus",56.5656565656566
"695",2,2015-05-27,27,5,2015,"Paracalanus nanus",90.2564102564102
"696",3,2015-05-27,27,5,2015,"Paracalanus nanus",0
"697",4,2015-05-27,27,5,2015,"Paracalanus nanus",120.547945205479
"698",2,2016-04-29,29,4,2016,"Paracalanus nanus",0
"699",3,2016-04-29,29,4,2016,"Paracalanus nanus",0
"700",4,2016-04-29,29,4,2016,"Paracalanus nanus",0
"701",2,1997-05-14,14,5,1997,"Paracalanus parvus",1.90267801931218
"702",3,1997-05-14,14,5,1997,"Paracalanus parvus",39.9809181981327
"703",4,1997-05-15,15,5,1997,"Paracalanus parvus",42.8248851514444
"704",2,1998-05-01,1,5,1998,"Paracalanus parvus",0.648760866744518
"705",3,1998-05-01,1,5,1998,"Paracalanus parvus",1.29752173348904
"706",4,1998-05-01,1,5,1998,"Paracalanus parvus",0
"707",2,1999-05-07,7,5,1999,"Paracalanus parvus",2.78067431352103
"708",3,1999-05-07,7,5,1999,"Paracalanus parvus",3.47705146036161
"709",4,1999-05-07,7,5,1999,"Paracalanus parvus",92.7704294256206
"710",2,2000-05-25,25,5,2000,"Paracalanus parvus",0
"711",3,2000-05-25,25,5,2000,"Paracalanus parvus",4.60278007916782
"712",4,2000-05-25,25,5,2000,"Paracalanus parvus",108.991825613079
"713",2,2001-05-28,28,5,2001,"Paracalanus parvus",5.17617693323019
"714",3,2001-05-28,28,5,2001,"Paracalanus parvus",26.7198837685056
"715",4,2001-05-28,28,5,2001,"Paracalanus parvus",64.6520000269383
"716",2,2002-04-22,22,4,2002,"Paracalanus parvus",17.9389132795166
"717",3,2002-04-22,22,4,2002,"Paracalanus parvus",11.0125228116544
"718",4,2002-04-22,22,4,2002,"Paracalanus parvus",777.478476733745
"719",4,2014-05-21,21,5,2014,"Paracalanus parvus",117.171717171717
"720",2,2015-05-27,27,5,2015,"Paracalanus parvus",0
"721",3,2015-05-27,27,5,2015,"Paracalanus parvus",22.0907297830375
"722",4,2015-05-27,27,5,2015,"Paracalanus parvus",0
"723",2,2016-04-29,29,4,2016,"Paracalanus parvus",9.5632183908046
"724",3,2016-04-29,29,4,2016,"Paracalanus parvus",19.6319018404908
"725",4,2016-04-29,29,4,2016,"Paracalanus parvus",47.7987421383648
"726",2,1997-05-14,14,5,1997,"Paracalanus sp p ",0
"727",3,1997-05-14,14,5,1997,"Paracalanus sp p ",0
"728",4,1997-05-15,15,5,1997,"Paracalanus sp p ",0
"729",2,1998-05-01,1,5,1998,"Paracalanus sp p ",0
"730",3,1998-05-01,1,5,1998,"Paracalanus sp p ",0
"731",4,1998-05-01,1,5,1998,"Paracalanus sp p ",0
"732",2,1999-05-07,7,5,1999,"Paracalanus sp p ",0
"733",3,1999-05-07,7,5,1999,"Paracalanus sp p ",0
"734",4,1999-05-07,7,5,1999,"Paracalanus sp p ",0
"735",2,2000-05-25,25,5,2000,"Paracalanus sp p ",0
"736",3,2000-05-25,25,5,2000,"Paracalanus sp p ",0
"737",4,2000-05-25,25,5,2000,"Paracalanus sp p ",0
"738",2,2001-05-28,28,5,2001,"Paracalanus sp p ",0
"739",3,2001-05-28,28,5,2001,"Paracalanus sp p ",0
"740",4,2001-05-28,28,5,2001,"Paracalanus sp p ",0
"741",2,2002-04-22,22,4,2002,"Paracalanus sp p ",0
"742",3,2002-04-22,22,4,2002,"Paracalanus sp p ",0
"743",4,2002-04-22,22,4,2002,"Paracalanus sp p ",0
"744",4,2014-05-21,21,5,2014,"Paracalanus sp p ",222.222222222222
"745",2,2015-05-27,27,5,2015,"Paracalanus sp p ",71.1111111111111
"746",3,2015-05-27,27,5,2015,"Paracalanus sp p ",53.6489151873767
"747",4,2015-05-27,27,5,2015,"Paracalanus sp p ",0
"748",2,2016-04-29,29,4,2016,"Paracalanus sp p ",0
"749",3,2016-04-29,29,4,2016,"Paracalanus sp p ",0
"750",4,2016-04-29,29,4,2016,"Paracalanus sp p ",0
"751",2,1997-05-14,14,5,1997,"Pontella mediterranea",0
"752",3,1997-05-14,14,5,1997,"Pontella mediterranea",0
"753",4,1997-05-15,15,5,1997,"Pontella mediterranea",0
"754",2,1998-05-01,1,5,1998,"Pontella mediterranea",0
"755",3,1998-05-01,1,5,1998,"Pontella mediterranea",0
"756",4,1998-05-01,1,5,1998,"Pontella mediterranea",2.11752249867655
"757",2,1999-05-07,7,5,1999,"Pontella mediterranea",0.695168578380257
"758",3,1999-05-07,7,5,1999,"Pontella mediterranea",0
"759",4,1999-05-07,7,5,1999,"Pontella mediterranea",0
"760",2,2000-05-25,25,5,2000,"Pontella mediterranea",0
"761",3,2000-05-25,25,5,2000,"Pontella mediterranea",0
"762",4,2000-05-25,25,5,2000,"Pontella mediterranea",0
"763",2,2001-05-28,28,5,2001,"Pontella mediterranea",0
"764",3,2001-05-28,28,5,2001,"Pontella mediterranea",0
"765",4,2001-05-28,28,5,2001,"Pontella mediterranea",0
"766",2,2002-04-22,22,4,2002,"Pontella mediterranea",0
"767",3,2002-04-22,22,4,2002,"Pontella mediterranea",0
"768",4,2002-04-22,22,4,2002,"Pontella mediterranea",0
"769",4,2014-05-21,21,5,2014,"Pontella mediterranea",0
"770",2,2015-05-27,27,5,2015,"Pontella mediterranea",0
"771",3,2015-05-27,27,5,2015,"Pontella mediterranea",0
"772",4,2015-05-27,27,5,2015,"Pontella mediterranea",0
"773",2,2016-04-29,29,4,2016,"Pontella mediterranea",0
"774",3,2016-04-29,29,4,2016,"Pontella mediterranea",0
"775",4,2016-04-29,29,4,2016,"Pontella mediterranea",0
"776",2,1997-05-14,14,5,1997,"Pseudocalanus elongatus",0
"777",3,1997-05-14,14,5,1997,"Pseudocalanus elongatus",29.0770314168238
"778",4,1997-05-15,15,5,1997,"Pseudocalanus elongatus",5.83975706610605
"779",2,1998-05-01,1,5,1998,"Pseudocalanus elongatus",0
"780",3,1998-05-01,1,5,1998,"Pseudocalanus elongatus",0
"781",4,1998-05-01,1,5,1998,"Pseudocalanus elongatus",4.2350449973531
"782",2,1999-05-07,7,5,1999,"Pseudocalanus elongatus",0
"783",3,1999-05-07,7,5,1999,"Pseudocalanus elongatus",0
"784",4,1999-05-07,7,5,1999,"Pseudocalanus elongatus",1.93271727970043
"785",2,2000-05-25,25,5,2000,"Pseudocalanus elongatus",0
"786",3,2000-05-25,25,5,2000,"Pseudocalanus elongatus",0
"787",4,2000-05-25,25,5,2000,"Pseudocalanus elongatus",0
"788",2,2001-05-28,28,5,2001,"Pseudocalanus elongatus",0
"789",3,2001-05-28,28,5,2001,"Pseudocalanus elongatus",0
"790",4,2001-05-28,28,5,2001,"Pseudocalanus elongatus",0
"791",2,2002-04-22,22,4,2002,"Pseudocalanus elongatus",0.472076665250437
"792",3,2002-04-22,22,4,2002,"Pseudocalanus elongatus",0
"793",4,2002-04-22,22,4,2002,"Pseudocalanus elongatus",16.901706015951
"794",4,2014-05-21,21,5,2014,"Pseudocalanus elongatus",0
"795",2,2015-05-27,27,5,2015,"Pseudocalanus elongatus",0
"796",3,2015-05-27,27,5,2015,"Pseudocalanus elongatus",0
"797",4,2015-05-27,27,5,2015,"Pseudocalanus elongatus",0
"798",2,2016-04-29,29,4,2016,"Pseudocalanus elongatus",0
"799",3,2016-04-29,29,4,2016,"Pseudocalanus elongatus",0
"800",4,2016-04-29,29,4,2016,"Pseudocalanus elongatus",0
"801",2,1997-05-14,14,5,1997,"Pseudodiaptomus marinus",0
"802",3,1997-05-14,14,5,1997,"Pseudodiaptomus marinus",0
"803",4,1997-05-15,15,5,1997,"Pseudodiaptomus marinus",0
"804",2,1998-05-01,1,5,1998,"Pseudodiaptomus marinus",0
"805",3,1998-05-01,1,5,1998,"Pseudodiaptomus marinus",0
"806",4,1998-05-01,1,5,1998,"Pseudodiaptomus marinus",0
"807",2,1999-05-07,7,5,1999,"Pseudodiaptomus marinus",0
"808",3,1999-05-07,7,5,1999,"Pseudodiaptomus marinus",0
"809",4,1999-05-07,7,5,1999,"Pseudodiaptomus marinus",0
"810",2,2000-05-25,25,5,2000,"Pseudodiaptomus marinus",0
"811",3,2000-05-25,25,5,2000,"Pseudodiaptomus marinus",0
"812",4,2000-05-25,25,5,2000,"Pseudodiaptomus marinus",0
"813",2,2001-05-28,28,5,2001,"Pseudodiaptomus marinus",0
"814",3,2001-05-28,28,5,2001,"Pseudodiaptomus marinus",0
"815",4,2001-05-28,28,5,2001,"Pseudodiaptomus marinus",0
"816",2,2002-04-22,22,4,2002,"Pseudodiaptomus marinus",0
"817",3,2002-04-22,22,4,2002,"Pseudodiaptomus marinus",0
"818",4,2002-04-22,22,4,2002,"Pseudodiaptomus marinus",0
