Dataset,Site name,LTER ID,Country,Latitude,Longitude,Taxonomic group,Study length (years),Link to the data,Notes,Included_Excluded,Unique_ID,Data_owner,Data_title,Data_description,Owner_email,Reason_for_exclusion
59,Hyytiälä SMEAR II LTER - Finland,https://deims.org/663dac80-211d-4c19-a356-04ee0da0f0eb,FI,61.97,23.36,Terrestrial invert.,23,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
60,Kilpisjärvi LTSER - Finland,https://deims.org/97212f1a-e226-4a9b-9261-10d9e4bd49f5,FI,69.039,20.824,Terrestrial invert.,24,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
61,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.335,29.334,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
62,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.223,29.128,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
63,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.382,29.427,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
64,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.382,29.58,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
65,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.208,29.163,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
66,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.213,29.402,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
67,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.379,29.424,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
68,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.191,29.136,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
69,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.338,29.518,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
70,Oulanka Research Station (Oulanka LTER) - Finland,https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330,FI,66.217,29.391,Aquatic invert.,15,http://doi.org/10.23728/b2share.870425755c4447249e3bf43a38b1bb1c,,Included,31,"Huttunen K., Muotka T., Paavola R.",Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland,Benthic invertebrates from 10 sites at Oulanka Research Station (Oulanka LTER) - Finland (https://deims.org/f81f30bb-6e2b-4a11-9b65-266fee2ae330),peter.haase@senckenberg.de,
71,Värriö Research Station (Värriö LTER) - Finland,https://deims.org/b471311f-e819-4f6f-bbae-1ac86cd9777f,FI,67.755,29.61,Terrestrial invert.,32,http://doi.org/10.23728/b2share.5934dc9a2c1b4f6aae0426019b833317,,Included,53,Back J.,"Moths at Värriö Research Station (Värriö LTER) - Finland, 1978-2009",Moths at Värriö Research Station (Värriö LTER) - Finland (https://deims.org/b471311f-e819-4f6f-bbae-1ac86cd9777f) for the years 1978-2009,peter.haase@senckenberg.de,
72,Kolari Field Site - Finland,https://deims.org/98a3b631-fcb0-4482-8572-6fee28691a39,FI,67.278,23.765,Terrestrial invert.,18,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
73,LTSER Zone Atelier Armorique - France,https://deims.org/31e67a47-5f15-40ad-9a72-f6f0ee4ecff6,FR,48.6,-1.533,Plants,24,http://doi.org/10.23728/b2share.f87c5e9c27e940ee9b98900e302f0bb8,"Data are reported as presence/absence in plots that were surveyed in three landscape types. For each landscape:year we computed the frequency of occurrence of each species in the plots, and used that value to compute biodiversity metrics. We then combined the obtained biodiversity trends obtained for the three landscape types using meta-analysis mixed models (see main text).
",Excluded,,,,,,Presence absence
74,LTSER Zone Atelier Plaine et Val de Sevre - France,https://deims.org/08a263dc-8b7b-4ebb-8fbc-7e0dc9eab7f5,FR,46.183,0.467,Birds,23,http://doi.org/10.23728/b2share.2a46c2ea61de4007ac716b351ff0379f,,Excluded,,,,,,Not multi species
75,LTSER Zone Atelier Plaine et Val de Sevre - France,https://deims.org/08a263dc-8b7b-4ebb-8fbc-7e0dc9eab7f5,FR,46.183,0.467,Mammals,23,http://doi.org/10.23728/b2share.a7bd4c6675d644878d0dd31cd0c2ea8d,,Excluded,,,,,,Not multi species
76,LTSER Zone Atelier Pyrénées Garonne - France,https://deims.org/e5cf07bb-f849-4034-babe-ff0a47cbc33a,FR,43.16,0.51,Birds,38,http://doi.org/10.23728/b2share.87b3a25811cc49b3ab3b84d2cf297601,,Included,32,"Barboro L.,","Birds at Aurignac County, part of the ‘‘Vallées & Coteaux de Gascogne’’ of the Long Term Ecological Research site ZA Pyrénées Garonne - France (https://deims.org/e5cf07bb-f849-4034-babe-ff0a47cbc33a) for the years 1981-2018","Birds at Aurignac County, part of the ‘‘Vallées & Coteaux de Gascogne’’ of the Long Term Ecological Research site ZA Pyrénées Garonne - France (https://deims.org/e5cf07bb-f849-4034-babe-ff0a47cbc33a) for the years 1981-2018",peter.haase@senckenberg.de,
77,"Kiskun Restoration Experiments, KISKUN LTER - Hungary",https://deims.org/c7a1d72c-7296-49e7-813a-890a11cf0ae9,HU,46.877,19.407,Plants,21,http://doi.org/10.23728/b2share.1e767b5c6c8140a589a995a947bc1967,We used presence/absence data. We computed the trends of the biodiversity metrics for the two sites separately and then we combined them using meta-analysis mixed models (see main text). ,Excluded,,,,,,Presence absence
78,Ramat Hanadiv (RHD) - Israel,https://deims.org/72f45e87-4e2d-4ea2-8bc9-4ddfac67a2a7,IS,32.55,34.933,Birds,17,http://doi.org/10.23728/b2share.1b0a96253aed4201a2d311113aac3c67,,Excluded,,,,,,Presence absence
79,IT12-Northern Adriatic Sea - Italy,https://deims.org/92fd6fad-99cd-4972-93bd-c491f0be1301,IT,45.25,12.77,Plankton,16,http://doi.org/10.23728/b2share.11815089ed3d4435b4b20c27cf885310,,Included,33,"Camatti E., Pansera M.","Mesozooplankton at Northern Adriatic Sea, July 1991-2006",Mesozooplankton at Northern Adriatic Sea (https://deims.org/92fd6fad-99cd-4972-93bd-c491f0be1301) for July in the years 1991-2006,peter.haase@senckenberg.de,
80,Laguna di Venezia - Italy,https://deims.org/f7d94927-17be-4d3d-9810-e3c9bc91829c,IT,45.42,12.26,Plankton,20,http://doi.org/10.23728/b2share.9932daa8c4ba49448b2bf39da3fba66b,,Included,34,"Camatti E., Pansera M.","Mesozooplankton at Lagoon of Venice, April-May 1997-2016",Mesozooplankton at Lagoon of Venice (https://deims.org/f7d94927-17be-4d3d-9810-e3c9bc91829c) in the period April-May for the years 1997-2016,peter.haase@senckenberg.de,
81,Appennino centrale: Gran Sasso d'Italia - Italy,https://deims.org/c0738b00-854c-418f-8d4f-69b03486e9fd,IT,42.447,13.555,Plants,32,http://doi.org/10.23728/b2share.09505dde70504570b4827eb70a6e7df3," We computed the trends of the biodiversity metrics for ""dry grassland"" and ""snow bed"" separately. Then we combined them using meta-analysis mixed models (see main text). ",Excluded,,,,,,Categorical
82,Val Masino LOM1 - Italy,https://deims.org/68a5673c-9172-48cc-88e5-b9408b203309,IT,46.237,9.552,Plants,16,https://deims.org/68a5673c-9172-48cc-88e5-b9408b203309,"We analysed the data of subplots 4, 6, 7 and 9, as they were surveyed during the whole period. We used the maximum coverage of each species across the 4 strata to compute the biodiversity metrics. ",Excluded,,,,,,"Data is weird mix of two abundance values (0.5, and 3)"
83,Renon BOL1 - Italy,https://deims.org/5d32cbf8-ab7c-4acb-b29f-600fec830a1d,IT,46.588,11.435,Terrestrial invert.,19,http://doi.org/10.23728/b2share.5045f5f29aa44ee89442540949a4c0f4,,Excluded,,,,,,Presence absence
84,Collelongo-Selva Piana ABR1 - Italy,https://deims.org/9b1d144a-dc37-4b0e-8cda-1dda1d7667da,IT,41.861,13.575,Plants,18,https://deims.org/dataset/28fe3227-fb9f-4e73-9a2a-30c07e90104d,"We analysed the data of subplots 4, 6, 7 and 9, as they were surveyed during the whole period. We used the maximum coverage of each species across the 4 strata to compute the biodiversity metrics. ",Excluded,,,,,,"Data is weird mix of two abundance values (0.5, and 3)"
85,Piano Limina CAL1 - Italy,https://deims.org/d35d5417-d167-4137-97d1-c62ae4bc580b,IT,38.423,16.183,Plants,18,http://doi.org/10.23728/b2share.b37aa33aa37b4ad09cad17c1509e6c19,"We analysed the data of subplots 4, 6, 7 and 9, as they were surveyed during the whole period. We used the maximum coverage of each species across the 4 strata to compute the biodiversity metrics. ",Excluded,,,,,,"Data is weird mix of two abundance values (0.5, and 3)"
86,Monte Rufeno LAZ1 - Italy,https://deims.org/05e96829-e64a-48d3-a96d-de2aa4cde146,IT,42.827,11.898,Plants,18,https://deims.org/dataset/e6ada5c2-d386-450c-b1d5-908ed45b0677,"We analysed the data of subplots 4, 6, 7 and 9, as they were surveyed during the whole period. We used the maximum coverage of each species across the 4 strata to compute the biodiversity metrics. ",Excluded,,,,,,"Data is weird mix of two abundance values (0.5, and 3)"
87,Colognole TOS1 - Italy,https://deims.org/fdd9b462-d2a9-441a-80a1-f4e8947f5577,IT,43.513,10.432,Plants,16,http://doi.org/10.23728/b2share.9acd392561074e1ea8848c10712e481e,"We analysed the data of subplots 4, 6, 7 and 9, as they were surveyed during the whole period. We used the maximum coverage of each species across the 4 strata to compute the biodiversity metrics. ",Excluded,,,,,,"Data is weird mix of two abundance values (0.5, and 3)"
88,Lago Bidighinzu - Italy,https://deims.org/3707cf71-7e04-41e3-8afc-518b293f6c07,IT,40.556,8.661,Plankton,28,http://doi.org/10.23728/b2share.d149a084959c4a06825f408f86e9a166,,Excluded,,,,,,Not identified to species level
89,Lago Anterselva - Italy,https://deims.org/e8342e5a-849b-4eba-8a99-249d285b5094,IT,46.886,12.166,Plankton,17,http://doi.org/10.23728/b2share.ab26962723df42ed9f575150d3e38c16,"To ensure consistency within the time series, we used zooplankton data from 1998-2014, for the months August to October.",Included,35,"Alber R., Vorha",Zooplankton from Lago Anterselva and Lago Piccolo di Monticolo - Italy.,Zooplankton from Lago Anterselva and Lago Piccolo di Monticolo - Italy (https://deims.org/e8342e5a-849b-4eba-8a99-249d285b5094).,peter.haase@senckenberg.de,
90,Lago Piccolo di Monticolo - Italy,https://deims.org/7d2699f6-ae7b-4b00-a3b0-24b24bfa1334,IT,46.423,11.29,Plankton,36,http://doi.org/10.23728/b2share.ab26962723df42ed9f575150d3e38c16,"To ensure consistency within the time series, we used data from March to July.",Included,,,,,,Duplicate of 89
91,River Salaca - Latvia,https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57,LV,57.795,25.148,Aquatic invert.,19,http://doi.org/10.23728/b2share.5561d1c856bc46d19b259fc0df90479c,"To ensure consistency within the time series, we used data for months July and August, from 1997 to 2015.",Included,36,"Skula A., Springe G.",Benthic invertebrates at three sites at River Salaca - Latvia,Benthic invertebrates at three sites at River Salaca - Latvia (https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57),peter.haase@senckenberg.de,
92,River Salaca - Latvia,https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57,LV,57.874,24.996,Aquatic invert.,20,http://doi.org/10.23728/b2share.5561d1c856bc46d19b259fc0df90479c,"To ensure consistency within the time series, we used data for months July and August. 1996-2015",Included,36,"Skula A., Springe G.",Benthic invertebrates at three sites at River Salaca - Latvia,Benthic invertebrates at three sites at River Salaca - Latvia (https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57),peter.haase@senckenberg.de,
93,River Salaca - Latvia,https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57,LV,57.753,24.409,Aquatic invert.,20,http://doi.org/10.23728/b2share.5561d1c856bc46d19b259fc0df90479c,"To ensure consistency within the time series, we used data for months July and August. 1996-2016",Included,36,"Skula A., Springe G.",Benthic invertebrates at three sites at River Salaca - Latvia,Benthic invertebrates at three sites at River Salaca - Latvia (https://deims.org/81a2b50d-76ea-426b-8e5b-0560dc07ee57),peter.haase@senckenberg.de,
94,LTSER Dutch Wadden Sea Area - Netherlands,https://deims.org/fcbf044b-20e2-4e87-894d-10bfe6e3a7ac,NL,53.25,5.25,Birds,41,http://doi.org/10.23728/b2share.b8d1205a2aba4dad8492bfa4e5c1a238,"We used data from the months:  January, May and November (or the closest, when those were not available), and we studied only the species that were surveyed throughout the whole period.",Included,37,Ens B.J.,"Birds from Dutch Wadden Sea, 1976-2016",Birds from Dutch Wadden Sea (https://deims.org/fcbf044b-20e2-4e87-894d-10bfe6e3a7ac) for the years 1976-2016,peter.haase@senckenberg.de,
95,LTSER Veluwe - Netherlands,https://deims.org/bef0bbd2-d8a9-4672-9e5b-085d049f4879,NL,52.041,5.856,Birds,45,http://doi.org/10.23728/b2share.ce32a67a789b44a1a15965fd28a8cb17,,Included,38,Visser M. E.,Breeding birds at LTSER Veluwe - Netherlands. 1974-2018,Breeding birds at LTSER Veluwe - Netherlands (https://deims.org/bef0bbd2-d8a9-4672-9e5b-085d049f4879) for the years 1974-2018,peter.haase@senckenberg.de,
96,"North Sea, Middelplaat - Netherlands",Non LTER site,NL,51.349,3.824,Aquatic invert.,16,http://doi.org/10.23728/b2share.af614139a6a146aeb820faae963c1762,"To ensure consistency within the time series, we (1) selected only samples from September to October; (2) Selected years 1994-2009 as a similar sampling surface area was surveyed (from 1994 to 2006 we selected only site 241 to have comparable sampling surface area); (3) Computed densities by summing the number individuals for each year and dividing by the total sampled area.",Excluded,,,,,,faulty link
97,Atna river - Norway,Non LTER site,NO,61.983,9.803,Aquatic invert.,15,http://doi.org/10.23728/b2share.d57da19440ad43ba90f3e50ae6402c3a,"To ensure consistency within the time series, we used samples that were collected in September-October.",Included,39,"Bongard T., Jensen T., Baekkelie K. A. E.",Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,peter.haase@senckenberg.de,
98,Atna river - Norway,Non LTER site,NO,61.997,9.809,Aquatic invert.,15,http://doi.org/10.23728/b2share.d57da19440ad43ba90f3e50ae6402c3a,"To ensure consistency within the time series, we used samples that were collected in September-October.",Included,39,"Bongard T., Jensen T., Baekkelie K. A. E.",Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,peter.haase@senckenberg.de,
99,Atna river - Norway,Non LTER site,NO,61.984,10.028,Aquatic invert.,15,http://doi.org/10.23728/b2share.d57da19440ad43ba90f3e50ae6402c3a,"To ensure consistency within the time series, we used samples that were collected in September-October.",Included,39,"Bongard T., Jensen T., Baekkelie K. A. E.",Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,peter.haase@senckenberg.de,
100,Atna river - Norway,Non LTER site,NO,61.745,10.747,Aquatic invert.,15,http://doi.org/10.23728/b2share.d57da19440ad43ba90f3e50ae6402c3a,"To ensure consistency within the time series, we used samples that were collected in September-October.",Included,39,"Bongard T., Jensen T., Baekkelie K. A. E.",Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,Benthic invertebrates at four sites along the Atna river - Norway. 2003-2017,peter.haase@senckenberg.de,
101,Atna river - Norway,Non LTER site,NO,61.983,9.803,Benthic algae,30,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
102,Atna river - Norway,Non LTER site,NO,61.994,9.805,Benthic algae,30,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
103,Atna river - Norway,Non LTER site,NO,62.009,10.014,Benthic algae,30,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
104,Atna river - Norway,Non LTER site,NO,61.852,10.226,Benthic algae,29,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
105,Atna river - Norway,Non LTER site,NO,61.791,10.489,Benthic algae,30,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
106,Atna river - Norway,Non LTER site,NO,61.787,10.468,Benthic algae,30,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
107,Atna river - Norway,Non LTER site,NO,61.745,10.747,Benthic algae,38,http://doi.org/10.23728/b2share.177a0aedcfee4f3d82537bc3b72a3cc7,,Excluded,,,,,,Presence absence
108,Lake Atnsjøen - Norway,Non LTER site,NO,61.884,10.156,Plankton,28,http://doi.org/10.23728/b2share.a88eacf60f3e494dab95aa17cd2f08d5,"To ensure consistency within the time series, we used data from 1990 on.",Included,40,Jensen T. C. ,Zooplankton from Lake Atnsjøen - Norway,Zooplankton from Lake Atnsjøen - Norway,peter.haase@senckenberg.de,
109,Bialowieza National Park - Poland,https://deims.org/ed872695-0789-4afe-a9f6-ccc584d3b725,PL,52.712,23.894,Terrestrial invert.,28,http://doi.org/10.23728/b2share.53b4ab2d70e44933842cd5571b331198,We used only data from Site 1 because it had a finer temporal resolution.,Excluded,,,,,,Metadata unclear
110,Mondego Estuary - Portugal,Non LTER site,PT,40.145,-8.858,Fish,16,http://doi.org/10.23728/b2share.4bf2ea6873da4336a8c4ebff555dbf57,"To ensure consistency within the time series, we used the species abundance data that were gathered at one sampling occasion per month for two months between May and October.",Included,41,"Pardal M., Martinho F.",Fish data from Mondego Estuary - Portugal. 2003-2018,Fish data from Mondego Estuary - Portugal. 2003-2018,peter.haase@senckenberg.de,
111,Mondego Estuary - Portugal,Non LTER site,PT,40.145,-8.846,Aquatic invert.,16,http://doi.org/10.23728/b2share.7352e774646a4e39b9fe35c50dbf4245,"To ensure consistency within the time series, we used the species abundance data that were gathered at one sampling occasion per month in the months: April, May and June.",Excluded,,,,,,Not identified to species level
112,Postojna-Planina Cave System - Slovenia,https://deims.org/b5bcf1f8-b905-4190-bb82-12d0d73904d0,SI,45.8,14.208,Plankton,17,http://doi.org/10.23728/b2share.61ea4aeb27514e7482f6ae8bd2d9acfa,"We used the data from sites 8, 9 and 14 because they span the period 2000-2016, while the other sites span shorter time frames.",Included,42,"Pipan T., Aljancic M., Gabrovsek F.",Biotic data from Postojna-Planina Cave System - Slovenia. 2000-2016,Biotic data from Postojna-Planina Cave System - Slovenia (https://deims.org/b5bcf1f8-b905-4190-bb82-12d0d73904d0) for the years 2000-2016,peter.haase@senckenberg.de,
113,Trnava LTSER - Slovakia,https://deims.org/fabf28c6-8fa1-4a81-aaed-ab985cbc4906,SK,48.664,17.902,Terrestrial invert.,36,http://doi.org/10.23728/b2share.56d39fcc398c48c8bcd1cb189e7d56bf,,Included,43,Kalivoda H.,Butterflies at Trnava LTSER - Slovakia. 1982-2017,Butterflies at Trnava LTSER - Slovakia (https://deims.org/fabf28c6-8fa1-4a81-aaed-ab985cbc4906) for the years 1982-2017,peter.haase@senckenberg.de,
114,Jalovecka dolina - Slovakia,https://deims.org/e13f1146-b97a-4bc5-9bc5-65322379a567,SK,49.218,19.672,Plants,17,http://doi.org/10.23728/b2share.7f6ee7d795ed47dfa11d2a4ed46541c6,We computed the biodiversity trends for the four sites independently. Then we combined the resulting trends using meta-analysis mixed model (see main text).,Included,44,"Halada L., David S.,","Plants at Jalovecka dolina - Slovakia, 2002-2018",Plants at Jalovecka dolina - Slovakia (https://deims.org/e13f1146-b97a-4bc5-9bc5-65322379a567) for the years 2002-2018,peter.haase@senckenberg.de,
115,"LTER Kindla, IM-site SE15 - Sweden",https://deims.org/9aa88bb6-b4a9-4569-8520-3d26643e6de9,SE,59.755,14.91,Plants,16,https://b2share.eudat.eu/records/63e22d3afdaa425f8e51c1ee94467671,,Included,45,Grandin U.,Kindla ICP-IM vegetation data,"Vegetation data from the ICP Integrated Monitoring site Kindla, Sweden",ulf.grandin@slu.se,
116,"LTER Gårdsjön, IM-site SE04 - Sweden",https://deims.org/c7f490fb-76a4-4d6c-ba3e-2fd2f33822ec,SE,58.055,12.02,Plants,25,https://b2share.eudat.eu/records/10e27dc7d2504d789f85e0a53c10baaa,,Included,46,Grandin U.,Gårdsjön ICP-IM vegetation data,Vegetation data from the ICP-Integrated monitoring site Gårdsjön,ulf.grandin@slu.se,
117,"LTER Gammtratten, IM-site SE16 - Sweden",https://deims.org/27415652-8de8-40e7-92c1-f82526116a2d,SE,63.853,18.118,Plants,16,https://b2share.eudat.eu/records/66b5e289ff6f4ce9a08faa0d3f126271,,Included,47,Grandin U.,Gammtratten ICP-IM vegetation data,"Vegetation data from two intensive monitoring plots at the ICP Integrated Monitoring site Gammtratten, Sweden.",ulf.grandin@slu.se,
118,Alsbäck - Sweden,Non LTER site,SE,58.32,11.547,Aquatic invert.,32,https://sharkweb.smhi.se/,"To ensure consistency within the time series, we used the data of the month May, from 1977 to 2008. ",Excluded,,,,,,Cant figure it out as its in swedish
119,Esthwaite Water - United Kingdom,https://deims.org/892c8613-4a21-40b5-a2e9-1036c63ca31f,UK,54.363,-2.986,Plankton,23,http://doi.org/10.23728/b2share.3c1a044b1204499ba3163ece55a85951,,Excluded,,,,,,Sampling method unclear
120,River Eden (Cumbria) - United Kingdom,https://deims.org/237d419d-ae65-4132-a07b-83727e52c751,UK,54.649,-2.615,Aquatic invert.,15,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Included,48,Monteith D.,UK Environmental Change Network (ECN) kick/sweep-sampled macroinvertebrate abundance in single 3 minute samples collected in spring (March – May) from eight English river/stream sites (1994-2012).,UK Environmental Change Network (ECN) kick/sweep-sampled macroinvertebrate abundance in single 3 minute samples collected in spring (March – May) from eight English river/stream sites (1994-2012).,peter.haase@senckenberg.de,
121,River Coquet - United Kingdom,https://deims.org/e6cdc394-033f-481b-815f-b0b95d3e43c1,UK,55.338,-1.629,Aquatic invert.,17,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,UK Environmental Change Network (ECN) butterfly data: 1993-2015.,,duplicate of 120
122,River Lathkill - United Kingdom,https://deims.org/d3cf4bce-5245-4786-935a-3862fe8b2b11,UK,53.178,-1.672,Aquatic invert.,19,http://doi.org/10.23728/b2share.c870ecd4f7f040709c815c722f50dd6a,,Excluded,,,,,,duplicate of 120
123,Drayton - United Kingdom,https://deims.org/00eb83ef-c965-462d-8022-7f7ff75ccd14,UK,52.194,-1.764,Terrestrial invert.,19,https://doi.org/10.5285/5aeda581-b4f2-4e51-b1a6-890b6b3403a3,,Included,49,"Rennie, S.; Adamson, J.; Anderson, R.; Andrews, C.; Bater, J.; Bayfield, N.; Beaton, K.; Beaumont, D.; Benham, S.; Bowmaker, V.; Britt, C.; Brooker, R.; Brooks, D.; Brunt, J.; Common, G.; Cooper, R.; Corbett, S.; Critchley, N.; Dennis, P.; Dick, J.; Dodd, B.; Dodd, N.; Donovan, N.; Easter, J.; Flexen, M.; Gardiner, A.; Hamilton, D.; Hargreaves, P.; Hatton-Ellis, M.; Howe, M.; Kahl, J.; Lane, M.; Langan, S.; Lloyd, D.; McCarney, B.; McElarney, Y.; McKenna, C.; McMillan, S.; Milne, F.; Milne, L.; Morecroft, M.; Murphy, M.; Nelson, A.; Nicholson, H.; Pallett, D.; Parry, D.; Pearce, I.; Pozsgai, G.; Rose, R.; Schafer, S.; Scott, T.; Sherrin, L.; Shortall, C.; Smith, R.; Smith, P.; Tait, R.; Taylor, C.; Taylor, M.; Thurlow, M.; Tilbury, C. ; Turner, A.; Tyson, K.; Watson, H.; Whittaker, M.; Wood, C.",UK Environmental Change Network (ECN) butterfly data: 1993-2015.,UK Environmental Change Network (ECN) butterfly data: 1993-2015.,ecn@ceh.ac.uk,
